TargetLabel,TargetPositionId,TargetPositionX,TargetPositionY,TargetOVCorrectionX,TargetOVCorrectionY,TargetRotation,TargetProfile,TargetType
Target label(1),1,0.0205,-0.2082,,,0,,
Target label(1),2,-9.3534,12.3918,,,0,,
Target label(1),3,9.3944,9.5206,,,0,,
Target label(1),4,-9.3534,-9.5286,,,0,,
Target label(1),5,9.3944,-12.3998,,,0,,
Target label(1),6,-4.4918,8.72863,,,0,,
Target label(1),7,4.1082,-8.69963,,,0,,
Target label(1),8,4.1082,8.72863,,,0,,
Target label(1),9,-4.4918,-8.69963,,,0,,
Target label(1),10,-9.3534,-1.4998,,,0,,
Target label(1),11,9.3944,1.9206,,,0,,
Target label(1),12,-6.945,-14.50905,,,0,,
Target label(1),13,6.8582,14.53805,,,0,,
Target label(1),14,-9.3534,4.7918,,,0,,
Target label(1),15,9.3944,-4.371,,,0,,
Target label(1),16,0.0205,11.2918,,,0,,
Target label(1),17,0.0205,-12.4082,,,0,,
Target label(1),18,-3.0418,14.53805,,,0,,
Target label(1),19,3.815,-14.50905,,,0,,
Target label(1),20,-6.9918,2.91921,,,0,,
Target label(1),21,5.9082,-3.52051,,,0,,
Target label(1),22,5.9082,2.91921,,,0,,
Target label(1),23,-6.9918,-3.52051,,,0,,
